id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,reserved2,logoMissing,logoFile,Match1,Match2,Match3,Match Chk
572,http://edge-bauerall-01-gos2.sharp-stream.com/hitsradiopride.aac,Hits Radio Pride,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Hits Radio Pride.jpg,Hits Radio Pride,ACC-bauerall,48s,Hits Radio Pride
573,http://listen-boomradio.sharp-stream.com/65_boom_radio_live_48?ref=RF,Boom Radio,r,local,,Aiir,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Boom Radio.png,Boom Radio,ACC,48s,Boom Radio
574,http://listen-boomradio.sharp-stream.com/65_boom_light_48_aac?ref=RF,Boom Light,r,local,,Aiir,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Boom Light.png,Boom Light,ACC,48s,Boom Light
575,http://edge-bauerall-01-gos2.sharp-stream.com/cfm.aac,CFM (East),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,CFM (East).jpg,CFM (East),ACC-bauerall,48s,CFM (East)
576,http://edge-bauerall-01-gos2.sharp-stream.com/clyde1.aac,Clyde 1,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Clyde 1.jpg,Clyde 1,ACC-bauerall,48s,Clyde 1
577,http://edge-bauerall-01-gos2.sharp-stream.com/clyde2.aac,Clyde 2,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Clyde 2.jpg,Clyde 2,ACC-bauerall,48s,Clyde 2
578,http://edge-bauerall-01-gos2.sharp-stream.com/coolfm.aac,Cool FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Cool FM.jpg,Cool FM,ACC-bauerall,48s,Cool FM
579,http://edge-bauerall-01-gos2.sharp-stream.com/downtowncountry.aac,Downtown Country,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Downtown Country.jpg,Downtown Country,ACC-bauerall,48s,Downtown Country
580,http://edge-bauerall-01-gos2.sharp-stream.com/downtown.aac,Downtown Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Downtown Radio.jpg,Downtown Radio,ACC-bauerall,48s,Downtown Radio
581,http://edge-bauerall-01-gos2.sharp-stream.com/freebirmingham.aac,Free Radio (Birmingham),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Free Radio (Birmingham).jpg,Free Radio (Birmingham),ACC-bauerall,48s,Free Radio (Birmingham)
582,http://edge-bauerall-01-gos2.sharp-stream.com/gem106.aac,Gem,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Gem.jpg,Gem,ACC-bauerall,48s,Gem
583,http://edge-bauerall-01-gos2.sharp-stream.com/hallam.aac,Hallam FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Hallam FM.jpg,Hallam FM,ACC-bauerall,48s,Hallam FM
584,http://edge-bauerall-01-gos2.sharp-stream.com/net1lincoln.aac,Lincs FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Lincs FM.jpg,Lincs FM,ACC-bauerall,48s,Lincs FM
585,http://edge-bauerall-01-gos2.sharp-stream.com/metro.aac,Metro Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Metro Radio.jpg,Metro Radio,ACC-bauerall,48s,Metro Radio
586,http://edge-bauerall-01-gos2.sharp-stream.com/mfrfm.aac,MFR,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,MFR.jpg,MFR,ACC-bauerall,48s,MFR
587,http://edge-bauerall-01-gos2.sharp-stream.com/mfram.aac,MFR 2,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,MFR 2.jpg,MFR 2,ACC-bauerall,48s,MFR 2
588,http://edge-bauerall-01-gos2.sharp-stream.com/northsound1.aac,Northsound 1,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Northsound 1.jpg,Northsound 1,ACC-bauerall,48s,Northsound 1
589,http://edge-bauerall-01-gos2.sharp-stream.com/northsound2.aac,Northsound 2,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Northsound 2.jpg,Northsound 2,ACC-bauerall,48s,Northsound 2
590,http://edge-bauerall-01-gos2.sharp-stream.com/net1cornwall.aac,Pirate FM (West),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Pirate FM (West).jpg,Pirate FM (West),ACC-bauerall,48s,Pirate FM (West)
591,http://edge-bauerall-01-gos2.sharp-stream.com/net1bradford.aac,Pulse 1,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Pulse 1.jpg,Pulse 1,ACC-bauerall,48s,Pulse 1
592,http://edge-bauerall-01-gos2.sharp-stream.com/borders.aac,Radio Borders,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Radio Borders.jpg,Radio Borders,ACC-bauerall,48s,Radio Borders
593,http://edge-bauerall-01-gos2.sharp-stream.com/city.aac,Radio City,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Radio City.jpg,Radio City,ACC-bauerall,48s,Radio City
594,http://edge-bauerall-01-gos2.sharp-stream.com/net1stoke.aac,Signal 1,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Signal 1.jpg,Signal 1,ACC-bauerall,48s,Signal 1
595,http://edge-bauerall-01-gos2.sharp-stream.com/tayam.aac,Tay 2,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Tay 2.jpg,Tay 2,ACC-bauerall,48s,Tay 2
596,http://edge-bauerall-01-gos2.sharp-stream.com/tayfm.aac,Tay FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Tay FM.jpg,Tay FM,ACC-bauerall,48s,Tay FM
597,http://edge-bauerall-01-gos2.sharp-stream.com/tfm.aac,TFM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,TFM.jpg,TFM,ACC-bauerall,48s,TFM
598,http://edge-bauerall-01-gos2.sharp-stream.com/net1swansea.aac,The Wave,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,The Wave.jpg,The Wave,ACC-bauerall,48s,The Wave
599,http://edge-bauerall-01-gos2.sharp-stream.com/viking.aac,Viking FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Viking FM.jpg,Viking FM,ACC-bauerall,48s,Viking FM
600,http://edge-bauerall-01-gos2.sharp-stream.com/wave105.aac,Wave 105,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Wave 105.jpg,Wave 105,ACC-bauerall,48s,Wave 105
601,http://edge-bauerall-01-gos2.sharp-stream.com/westfm.aac,West FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,West FM.jpg,West FM,ACC-bauerall,48s,West FM
602,http://edge-bauerall-01-gos2.sharp-stream.com/westsound.aac,West Sound (Ayrshire),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,West Sound (Ayrshire).jpg,West Sound (Ayrshire),ACC-bauerall,48s,West Sound (Ayrshire)
603,http://icecast.thisisdax.com/SmoothLakeDistrict,Lakeland Radio,r,local,,Global,English,UK,Europe,48s,MP3,No,NULL,NULL,FALSE,Lakeland Radio.png,Lakeland Radio,ACC,48s,Lakeland Radio
604,http://icecast.thisisdax.com/HeartNorthLancsCumbria,The Bay,r,local,,Global,English,UK,Europe,48s,MP3,No,NULL,NULL,FALSE,The Bay.jpg,The Bay,ACC,48s,The Bay
605,https://21363.live.streamtheworld.com/4SFM_SC,Sunshine FM 104.9,r,local,,0,English,Australia,World,64s,MP2,No,NULL,NULL,FALSE,Sunshine FM 104.9.jpg,Sunshine FM 104.9,MP2,64s,Sunshine FM 104.9
